CustomerID,Segment,Recency,Frequency,Monetary,Product_Variety,Avg_Days_Between_Purchases,Is_UK,Country
12347.0,Champions (VIP),2,7,3314.73,96,2.212121212121212,0,Iceland
12348.0,Occasional / At Risk,249,3,90.2,6,22.0,0,Finland
12349.0,Hibernating,19,1,999.15,58,0.0,0,Italy
12350.0,Hibernating,310,1,294.4,16,0.0,0,Norway
12352.0,Loyal Customers,36,7,1130.94,49,4.0,0,Norway
12353.0,Lost / Low Value,204,1,29.300000000000004,2,0.0,0,Bahrain
12354.0,Hibernating,232,1,682.69,40,0.0,0,Spain
12355.0,Lost / Low Value,214,1,219.0,9,0.0,0,Bahrain
12356.0,Loyal Customers,246,2,1086.56,33,2.5,0,Portugal
12357.0,Loyal Customers,33,1,3315.41,96,0.0,0,Switzerland
12358.0,Occasional / At Risk,2,2,878.22,9,11.461538461538462,0,Austria
12359.0,Loyal Customers,58,4,3161.58,158,1.5930232558139534,0,Cyprus
12360.0,Loyal Customers,52,3,1843.16,97,1.2758620689655173,0,Austria
12361.0,Lost / Low Value,287,1,174.9,9,0.0,0,Belgium
12362.0,Champions (VIP),3,10,4098.94,172,1.3035714285714286,0,Belgium
12363.0,Occasional / At Risk,110,2,484.5,19,7.388888888888889,0,Unspecified
12364.0,Loyal Customers,8,3,1106.28,67,1.3636363636363635,0,Belgium
12365.0,Hibernating,291,1,307.94,20,0.0,0,Cyprus
12367.0,Hibernating,4,1,138.3,9,0.0,0,Denmark
12370.0,Loyal Customers,51,4,2598.66,129,2.06,0,Cyprus
12371.0,Hibernating,60,1,1300.46,58,0.0,0,Switzerland
12372.0,Loyal Customers,72,3,938.34,32,5.232558139534884,0,Denmark
12373.0,Hibernating,311,1,299.1,12,0.0,0,Austria
12374.0,Hibernating,25,1,531.73,29,0.0,0,Austria
12375.0,Occasional / At Risk,11,2,283.3,12,7.333333333333333,0,Finland
12377.0,Hibernating,315,2,1472.52,69,0.5342465753424658,0,Switzerland
12378.0,Loyal Customers,130,1,3396.64,194,0.0,0,Switzerland
12379.0,Loyal Customers,82,2,736.44,37,2.4722222222222223,0,Belgium
12380.0,Loyal Customers,22,4,1738.25,71,1.8222222222222222,0,Belgium
12381.0,Loyal Customers,5,3,1242.96,62,1.619718309859155,0,Norway
12383.0,Loyal Customers,185,5,1211.84,73,2.24,0,Belgium
12384.0,Occasional / At Risk,29,2,286.32,17,5.8125,0,Switzerland
12386.0,Lost / Low Value,367,1,215.7,7,0.0,0,Australia
12388.0,Loyal Customers,16,6,2466.7000000000003,54,3.380434782608696,0,Australia
12390.0,Hibernating,80,1,407.74,26,0.0,0,Belgium
12391.0,Hibernating,22,1,406.88,89,0.0,0,Cyprus
12393.0,Loyal Customers,72,4,1193.5,45,4.56140350877193,0,Australia
12394.0,Hibernating,217,1,331.18,19,0.0,0,Belgium
12395.0,Champions (VIP),19,12,1844.57,75,2.933333333333333,0,Belgium
12397.0,Loyal Customers,36,2,1720.01,96,0.9259259259259259,0,Belgium
12398.0,Hibernating,46,1,1349.44,81,0.0,0,Switzerland
12399.0,Loyal Customers,119,4,729.15,42,3.1555555555555554,0,Belgium
12401.0,Lost / Low Value,303,1,32.85,2,0.0,0,Belgium
12402.0,Lost / Low Value,323,1,195.6,10,0.0,0,Belgium
12403.0,Lost / Low Value,50,1,92.9,2,0.0,0,Denmark
12405.0,Hibernating,149,1,1104.8700000000001,42,0.0,0,Finland
12406.0,Loyal Customers,22,2,2871.78,85,1.694736842105263,0,Denmark
12407.0,Loyal Customers,50,5,1085.01,48,3.5833333333333335,0,Belgium
12408.0,Loyal Customers,33,5,1869.47,74,2.561797752808989,0,Belgium
12409.0,Loyal Customers,79,3,1646.79,22,4.333333333333333,0,Switzerland
12410.0,Hibernating,309,1,274.23,14,0.0,0,Switzerland
12412.0,Loyal Customers,75,3,1115.04,41,1.7272727272727273,0,Denmark
12413.0,Occasional / At Risk,67,3,545.2,23,9.033333333333333,0,France
12414.0,Occasional / At Risk,217,3,343.65,12,8.454545454545455,0,Austria
12415.0,Champions (VIP),25,11,3756.06,102,2.7217391304347824,0,Australia
12417.0,Champions (VIP),3,9,2151.75,124,2.5652173913043477,0,Belgium
12418.0,Hibernating,113,1,418.16,25,0.0,0,Switzerland
12420.0,Hibernating,64,1,380.3,20,0.0,0,Cyprus
12421.0,Occasional / At Risk,16,4,607.57,30,8.0,0,Spain
12422.0,Occasional / At Risk,96,3,645.3100000000001,37,6.361111111111111,0,Australia
12423.0,Champions (VIP),1,8,1535.61,90,3.209090909090909,0,Belgium
12424.0,Hibernating,163,2,703.72,21,0.0,0,Australia
12425.0,Hibernating,78,1,538.14,30,0.0,0,Portugal
12426.0,Hibernating,195,1,446.08,25,0.0,0,Germany
12427.0,Occasional / At Risk,22,3,425.62,21,15.909090909090908,0,Germany
12428.0,Champions (VIP),26,8,4830.43,223,1.048780487804878,0,Finland
12429.0,Loyal Customers,9,4,2313.04,65,4.684210526315789,0,Denmark
12430.0,Lost / Low Value,43,1,168.6,9,0.0,0,Norway
12431.0,Champions (VIP),60,13,3866.05,143,1.6302083333333333,0,Australia
12432.0,Loyal Customers,43,4,1909.68,70,1.8571428571428572,0,Norway
12433.0,Champions (VIP),1,7,7947.37,181,1.2516778523489933,0,Norway
12434.0,Loyal Customers,85,2,624.84,38,4.631578947368421,0,Australia
12435.0,Lost / Low Value,268,1,78.0,2,0.0,0,Denmark
12436.0,Hibernating,100,1,429.01000000000005,15,0.0,0,Norway
12437.0,Champions (VIP),2,18,2760.54,102,2.3404255319148937,0,France
12438.0,Loyal Customers,14,2,1753.1200000000001,69,1.6363636363636365,0,Norway
12441.0,Lost / Low Value,367,1,155.55,10,0.0,0,France
12442.0,Hibernating,3,1,144.06,11,0.0,0,Spain
12444.0,Loyal Customers,21,5,2382.56,110,1.2,0,Norway
12445.0,Lost / Low Value,22,1,77.4,3,0.0,0,Spain
12446.0,Hibernating,58,1,734.36,45,0.0,0,RSA
12447.0,Hibernating,243,1,379.78999999999996,22,0.0,0,Belgium
12448.0,Hibernating,44,1,283.95,19,0.0,0,Spain
12449.0,Loyal Customers,22,4,2733.84,104,1.0576923076923077,0,Belgium
12450.0,Lost / Low Value,156,2,131.88,7,2.8333333333333335,0,Spain
12451.0,Champions (VIP),11,5,5878.31,227,1.1335740072202165,0,Switzerland
12452.0,Hibernating,17,1,285.67,18,0.0,0,Switzerland
12453.0,Hibernating,134,1,707.09,43,0.0,0,Austria
12454.0,Lost / Low Value,56,1,66.4,1,0.0,0,Spain
12455.0,Loyal Customers,73,5,1201.8600000000001,65,3.4307692307692306,0,Spain
12456.0,Loyal Customers,44,3,1663.24,87,2.142857142857143,0,Switzerland
12457.0,Loyal Customers,86,2,958.93,43,3.3260869565217392,0,Switzerland
12458.0,Occasional / At Risk,71,2,612.38,30,7.1,0,Switzerland
12461.0,Hibernating,155,1,419.08,29,0.0,0,Switzerland
12462.0,Loyal Customers,19,2,657.8,38,6.627906976744186,0,Spain
12463.0,Loyal Customers,53,4,1155.38,62,2.506666666666667,0,Belgium
12464.0,Occasional / At Risk,150,4,76.5,1,53.333333333333336,0,Belgium
12465.0,Loyal Customers,17,2,621.49,43,3.619047619047619,0,Belgium
12468.0,Occasional / At Risk,188,2,575.99,32,4.03125,0,Germany
12471.0,Champions (VIP),2,26,8703.38,133,1.011173184357542,0,Germany
12472.0,Champions (VIP),32,7,5052.03,207,1.0977198697068404,0,Germany
12473.0,Loyal Customers,54,3,2218.95,123,0.971830985915493,0,Germany
12474.0,Champions (VIP),17,18,6115.2,236,0.8232189973614775,0,Germany
12475.0,Hibernating,54,1,561.9399999999999,31,0.0,0,Germany
12476.0,Champions (VIP),16,10,3530.83,140,2.1097560975609757,0,Germany
12477.0,Champions (VIP),23,6,7057.34,159,1.251121076233184,0,Germany
12478.0,Hibernating,4,1,479.59000000000003,32,0.0,0,Greece
12479.0,Hibernating,11,1,426.35,28,0.0,0,Germany
12480.0,Loyal Customers,28,4,2266.94,119,2.2814814814814817,0,Germany
12481.0,Champions (VIP),23,10,3445.7,125,2.0176470588235293,0,Germany
12483.0,Loyal Customers,17,7,1486.54,42,5.366666666666666,0,Sweden
12484.0,Loyal Customers,35,4,3322.58,230,0.9678456591639871,0,Spain
12488.0,Loyal Customers,10,3,952.1600000000001,41,1.434782608695652,0,France
12489.0,Lost / Low Value,336,1,191.43,10,0.0,0,France
12490.0,Champions (VIP),5,10,4227.11,122,1.4660633484162895,0,France
12491.0,Hibernating,39,1,350.75,23,0.0,0,France
12492.0,Hibernating,63,2,227.21,18,2.4705882352941178,0,Germany
12493.0,Hibernating,166,2,332.91,16,1.8823529411764706,0,France
12494.0,Loyal Customers,16,7,951.75,59,5.46875,0,France
12497.0,Lost / Low Value,82,1,20.4,1,0.0,0,Germany
12498.0,Loyal Customers,21,3,349.70000000000005,20,1.8,0,Germany
12500.0,Occasional / At Risk,50,6,494.89,24,10.695652173913043,0,Germany
12501.0,Hibernating,337,1,1866.66,138,0.0,0,Germany
12502.0,Loyal Customers,96,5,1511.32,72,2.3777777777777778,0,Spain
12504.0,Lost / Low Value,30,1,60.0,2,0.0,0,Germany
12506.0,Lost / Low Value,233,1,57.6,21,0.0,0,France
12507.0,Occasional / At Risk,156,2,388.75,11,13.0,0,Spain
12508.0,Hibernating,26,2,397.88,57,0.04477611940298507,0,France
12509.0,Lost / Low Value,284,1,124.5,5,0.0,0,France
