Segment,Recency,Frequency,Monetary
Champions (VIP),2,7,3314.73
Occasional / At Risk,249,3,90.2
Hibernating,19,1,999.15
Hibernating,310,1,294.4
Loyal Customers,36,7,1130.94
Lost / Low Value,204,1,29.300000000000004
Hibernating,232,1,682.69
Lost / Low Value,214,1,219.0
Loyal Customers,246,2,1086.56
Loyal Customers,33,1,3315.41
Occasional / At Risk,2,2,878.22
Loyal Customers,58,4,3161.58
Loyal Customers,52,3,1843.16
Lost / Low Value,287,1,174.9
Champions (VIP),3,10,4098.94
Occasional / At Risk,110,2,484.5
Loyal Customers,8,3,1106.28
Hibernating,291,1,307.94
Hibernating,4,1,138.3
Loyal Customers,51,4,2598.66
Hibernating,60,1,1300.46
Loyal Customers,72,3,938.34
Hibernating,311,1,299.1
Hibernating,25,1,531.73
Occasional / At Risk,11,2,283.3
Hibernating,315,2,1472.52
Loyal Customers,130,1,3396.64
Loyal Customers,82,2,736.44
Loyal Customers,22,4,1738.25
Loyal Customers,5,3,1242.96
Loyal Customers,185,5,1211.84
Occasional / At Risk,29,2,286.32
Lost / Low Value,367,1,215.7
Loyal Customers,16,6,2466.7000000000003
Hibernating,80,1,407.74
Hibernating,22,1,406.88
Loyal Customers,72,4,1193.5
Hibernating,217,1,331.18
Champions (VIP),19,12,1844.57
Loyal Customers,36,2,1720.01
Hibernating,46,1,1349.44
Loyal Customers,119,4,729.15
Lost / Low Value,303,1,32.85
Lost / Low Value,323,1,195.6
Lost / Low Value,50,1,92.9
Hibernating,149,1,1104.8700000000001
Loyal Customers,22,2,2871.78
Loyal Customers,50,5,1085.01
Loyal Customers,33,5,1869.47
Loyal Customers,79,3,1646.79
Hibernating,309,1,274.23
Loyal Customers,75,3,1115.04
Occasional / At Risk,67,3,545.2
Occasional / At Risk,217,3,343.65
Champions (VIP),25,11,3756.06
Champions (VIP),3,9,2151.75
Hibernating,113,1,418.16
Hibernating,64,1,380.3
Occasional / At Risk,16,4,607.57
Occasional / At Risk,96,3,645.3100000000001
Champions (VIP),1,8,1535.61
Hibernating,163,2,703.72
Hibernating,78,1,538.14
Hibernating,195,1,446.08
Occasional / At Risk,22,3,425.62
Champions (VIP),26,8,4830.43
Loyal Customers,9,4,2313.04
Lost / Low Value,43,1,168.6
Champions (VIP),60,13,3866.05
Loyal Customers,43,4,1909.68
Champions (VIP),1,7,7947.37
Loyal Customers,85,2,624.84
Lost / Low Value,268,1,78.0
Hibernating,100,1,429.01000000000005
Champions (VIP),2,18,2760.54
Loyal Customers,14,2,1753.1200000000001
Lost / Low Value,367,1,155.55
Hibernating,3,1,144.06
Loyal Customers,21,5,2382.56
Lost / Low Value,22,1,77.4
Hibernating,58,1,734.36
Hibernating,243,1,379.78999999999996
Hibernating,44,1,283.95
Loyal Customers,22,4,2733.84
Lost / Low Value,156,2,131.88
Champions (VIP),11,5,5878.31
Hibernating,17,1,285.67
Hibernating,134,1,707.09
Lost / Low Value,56,1,66.4
Loyal Customers,73,5,1201.8600000000001
Loyal Customers,44,3,1663.24
Loyal Customers,86,2,958.93
Occasional / At Risk,71,2,612.38
Hibernating,155,1,419.08
Loyal Customers,19,2,657.8
Loyal Customers,53,4,1155.38
Occasional / At Risk,150,4,76.5
Loyal Customers,17,2,621.49
Occasional / At Risk,188,2,575.99
Champions (VIP),2,26,8703.38
Champions (VIP),32,7,5052.03
Loyal Customers,54,3,2218.95
Champions (VIP),17,18,6115.2
Hibernating,54,1,561.9399999999999
Champions (VIP),16,10,3530.83
Champions (VIP),23,6,7057.34
Hibernating,4,1,479.59000000000003
Hibernating,11,1,426.35
Loyal Customers,28,4,2266.94
Champions (VIP),23,10,3445.7
Loyal Customers,17,7,1486.54
Loyal Customers,35,4,3322.58
Loyal Customers,10,3,952.1600000000001
Lost / Low Value,336,1,191.43
Champions (VIP),5,10,4227.11
